진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,경기,O0965,62,62,72,11923145
2024,경기,O0966,21,21,31,8558917
2024,경기,O0967,299,311,349,46223490
2024,경기,O0968,173,188,234,41641726
2024,경기,O0971,9710,15079,15261,214885236
2024,경기,O0972,104,106,117,14640627
2024,경기,O0973,602,672,672,19576065
2024,경기,O0985,313,375,398,21335082
2024,경기,O0990,2,2,2,27000
2024,경기,O0991,26030,32138,32749,914903136
2024,경기,O0992,14793,20715,21581,746521993
2024,경기,O0993,730,778,943,37113140
2024,경기,O0994,42,44,51,8486915
2024,경기,O1001,126,129,153,27672772
2024,경기,O1002,1919,1925,1878,476793601
2024,경기,O1003,179,207,233,61612753
2024,경기,O1004,282,383,397,29267570
2024,경기,O1005,18,18,18,3709954
2024,경기,O1006,3542,3557,3610,1090687036
2024,경기,O1007,773,780,916,289255520
2024,경기,O1010,417,431,737,101970594
2024,경기,O1011,1087,1126,1784,235857895
2024,경기,O1015,1795,1824,3125,254660867
2024,경기,O1021,3884,4034,6929,1040874233
2024,경기,O1022,5393,5546,9517,1187929465
2024,경기,O1026,111966,171641,194700,3331378873
2024,경기,O1040,1,1,1,377201
2024,경기,O1041,16,17,25,2919933
2024,경기,O1042,2,2,2,767948
2024,경기,O1043,49,54,77,9235820
2024,경기,O1045,12,16,17,10187065
2024,경기,O1048,1,1,2,3731980
2024,경기,O1050,22,22,28,3524601
2024,경기,O1051,434,454,629,80055002
2024,경기,O1055,4,4,7,612832
2024,경기,O1056,60,64,76,13252085
2024,경기,O1061,13,13,26,6844500
2024,경기,O1070,278,285,304,79786638
2024,경기,O1081,21796,50278,53365,1483112207
2024,경기,O1086,15564,31338,31188,537398036
2024,경기,O1091,4,4,4,832234
2024,경기,O1092,16,16,17,7195176
2024,경기,O1093,4,4,4,3385649
2024,경기,O1100,11,11,15,2417237
2024,경기,O1101,112,115,156,32983291
2024,경기,O1110,37,37,70,7211101
2024,경기,O1120,1,1,1,214808
2024,경기,O1121,266,272,331,93570545
2024,경기,O1130,23,23,40,17041348
2024,경기,O1131,1075,1125,1997,1191653046
2024,경기,O1140,58,58,81,17164102
2024,경기,O1141,2081,2136,2888,638684756
2024,경기,O1150,4,4,5,1634267
2024,경기,O1151,490,496,930,308727933
2024,경기,O1152,188,189,249,112251334
2024,경기,O1160,5,5,6,1376614
2024,경기,O1161,34,38,52,13602139
2024,경기,O1162,248,251,316,126623116
2024,경기,O1171,19,21,32,8626075
2024,경기,O1172,66,66,82,37030778
2024,경기,O1175,33,35,54,13593620
2024,경기,O1176,874,941,1336,343167212
2024,경기,O1177,960,984,1464,492768749
2024,경기,O1181,22,24,28,7572720
2024,경기,O1182,49,49,64,18249022
2024,경기,O1200,10,10,10,2290644
2024,경기,O1201,48,112,114,16676156
2024,경기,O1210,19,46,69,4468530
2024,경기,O1215,115,130,159,26604485
2024,경기,O1221,486,524,654,181238955
2024,경기,O1222,4,4,4,1173480
2024,경기,O1223,5,5,5,2981328
2024,경기,O1224,125,148,241,93922921
2024,경기,O1225,16,17,19,23444002
2024,경기,O1226,3,3,3,3697628
2024,경기,O1227,16,16,16,31398390
2024,경기,O1231,749,806,1313,284107144
2024,경기,O1232,90,103,131,33315370
2024,경기,O1233,37,37,52,15582416
2024,경기,O1251,2,2,2,4306060
2024,경기,O1252,10,10,10,20617192
2024,경기,O1261,23,27,31,11334600
2024,경기,O1262,1,1,1,434720
2024,경기,O1263,1,1,1,524630
2024,경기,O1264,561,695,818,225059595
2024,경기,O1265,1,1,1,378097
2024,경기,O1266,3,3,3,832092
2024,경기,O1281,1,1,1,211456
2024,경기,O1291,502,508,514,40182553
2024,경기,O1292,12,12,12,1879687
2024,경기,O1300,1521,1544,1568,407192358
2024,경기,O1301,803,814,827,94254318
2024,경기,O1303,13,13,13,2344305
2024,경기,O1306,9,9,9,1438577
2024,경기,O1311,1,1,1,2459183
2024,경기,O1312,1,1,1,1661000
2024,경기,O1313,1,1,1,3317118
2024,경기,O1314,4,4,4,7925624
2024,경기,O1315,33,40,49,10643949
2024,경기,O1316,24,26,28,5882011
2024,경기,O1318,20,20,24,8942707
2024,경기,O1321,17,18,20,12725493
